,Open,High,Low,Close,Adj Close,Volume
2021-11-11 05:00:00+00:00,64670.3125,64884.7109375,64618.609375,64670.0390625,64670.0390625,0
2021-11-11 06:00:00+00:00,64730.953125,64971.328125,64562.046875,64859.92578125,64859.92578125,395513856
2021-11-11 07:00:00+00:00,64854.37109375,65388.01953125,64851.9453125,65246.8515625,65246.8515625,516583424
2021-11-11 08:00:00+00:00,65266.67578125,65291.1484375,64633.0390625,65288.89453125,65288.89453125,419991552
2021-11-11 09:00:00+00:00,65403.76953125,65579.015625,65058.6796875,65405.890625,65405.890625,383807488
2021-11-11 10:00:00+00:00,65411.3203125,65411.3203125,65136.44140625,65366.6640625,65366.6640625,22056960
2021-11-11 11:00:00+00:00,65280.078125,65360.71875,65038.80078125,65285.16015625,65285.16015625,0
2021-11-11 12:00:00+00:00,65285.54296875,65414.15234375,64743.89453125,65014.93359375,65014.93359375,0
2021-11-11 13:00:00+00:00,65081.765625,65183.86328125,64738.49609375,64801.7109375,64801.7109375,0
2021-11-11 14:00:00+00:00,64830.29296875,65436.73046875,64454.63671875,65233.6796875,65233.6796875,0
2021-11-11 15:00:00+00:00,65227.26171875,65338.03515625,64716.890625,64793.70703125,64793.70703125,0
2021-11-11 16:00:00+00:00,64802.40625,65209.7578125,64756.1015625,65050.84375,65050.84375,0
2021-11-11 17:00:00+00:00,65012.31640625,65223.8046875,64927.0703125,64979.28515625,64979.28515625,0
2021-11-11 18:00:00+00:00,64984.20703125,65038.38671875,64642.62890625,64829.29296875,64829.29296875,0
2021-11-11 19:00:00+00:00,64801.2421875,65213.8046875,64801.2421875,65114.7265625,65114.7265625,0
2021-11-11 20:00:00+00:00,65087.61328125,65224.21875,64782.18359375,64782.18359375,64782.18359375,0
2021-11-11 21:00:00+00:00,64824.21484375,65125.52734375,64737.44921875,65072.55078125,65072.55078125,0
2021-11-11 22:00:00+00:00,65110.79296875,65302.22265625,64948.13671875,65196.5,65196.5,0
2021-11-11 23:00:00+00:00,65195.73828125,65201.859375,64813.828125,64828.55078125,64828.55078125,0
2021-11-12 00:00:00+00:00,64863.98046875,65020.96484375,64720.6953125,64896.91796875,64896.91796875,0
2021-11-12 01:00:00+00:00,64881.74609375,65320.625,64220.05859375,65186.921875,65186.921875,568291328
2021-11-12 02:00:00+00:00,65171.6171875,65460.81640625,64994.21875,65137.60546875,65137.60546875,59269120
2021-11-12 03:00:00+00:00,65059.27734375,65150.328125,64763.69921875,64857.3203125,64857.3203125,0
2021-11-12 04:00:00+00:00,64869.05859375,65101.24609375,64798.91015625,64972.2578125,64972.2578125,182267904
2021-11-12 05:00:00+00:00,64988.8359375,65032.91796875,64629.79296875,64629.79296875,64629.79296875,0
2021-11-12 06:00:00+00:00,64679.2265625,64890.0,64564.23046875,64588.23828125,64588.23828125,0
2021-11-12 07:00:00+00:00,64607.62109375,64704.95703125,64365.71484375,64510.16015625,64510.16015625,0
2021-11-12 08:00:00+00:00,64560.8515625,65039.04296875,64361.80078125,64964.80078125,64964.80078125,145293312
2021-11-12 09:00:00+00:00,64985.49609375,64986.27734375,63794.375,63835.578125,63835.578125,620670976
2021-11-12 10:00:00+00:00,63825.8671875,64127.03515625,63618.59375,63627.9296875,63627.9296875,780120064
2021-11-12 11:00:00+00:00,63673.1171875,64032.46484375,63509.53125,63677.3671875,63677.3671875,330182656
